Name	Length	EffectiveLength	TPMKO	NumReadKO	TPMCtrl	NumReadsCtrl	Diff
ENSMUST00000092955.11	830	629.611	262832	1354.96	0	0	1354.96
ENSMUST00000217941.2	5573	5372.61	13174.3	579.547	0	0	579.547
ENSMUST00000147671.2	1225	1024.61	67703.8	568	0	0	568.0
ENSMUST00000117638.2	2885	2684.61	10511.3	231.055	0	0	231.055
ENSMUST00000099047.4	681	480.611	48138.2	189.435	0	0	189.435
ENSMUST00000107263.9	3516	3315.61	6814.46	185	0	0	185.0
ENSMUST00000056623.13	17152	16951.6	1015.86	141	166.679	14	127.0
ENSMUST00000027629.10	9269	9068.61	1373.67	102	22.2547	1	101.0
ENSMUST00000153748.2	4659	4458.61	4410.11	161	2896.97	64	97.0
ENSMUST00000092750.12	4154	3953.61	2805.25	90.8117	0	0	90.8117
ENSMUST00000091436.7	11262	11061.6	971.601	88	0	0	88.0
ENSMUST00000105738.9	4006	3805.61	2467.78	76.8965	0	0	76.8965
ENSMUST00000179175.3	2953	2752.61	3007.25	67.7783	0	0	67.7783
ENSMUST00000100497.11	1920	1719.61	8826.51	124.278	6846.39	58.3349	65.94310000000002
ENSMUST00000108959.3	1581	1380.61	5749.97	65	0	0	65.0
ENSMUST00000145874.2	491	290.653	27312.6	65	0	0	65.0
ENSMUST00000077375.5	3550	3349.61	2260.59	62	0	0	62.0
ENSMUST00000120870.2	1575	1374.61	5064.29	57	0	0	57.0
ENSMUST00000084771.3	1559	1358.61	7461.16	83	3923.33	26.4111	56.588899999999995
ENSMUST00000238623.2	1525	1324.61	5203.12	56.4324	0	0	56.4324
ENSMUST00000085679.13	3105	2904.61	3273.43	77.8516	1528.61	22	55.851600000000005
ENSMUST00000020488.9	123179	122979	53.3509	53.7215	6.56485	4.00029	49.72121
ENSMUST00000144826.2	9797	9596.61	626.537	49.2312	42.0606	2	47.2312
ENSMUST00000122309.2	2405	2204.61	2497.53	45.0837	0	0	45.0837
ENSMUST00000203657.3	695	494.611	11111.5	45	0	0	45.0
ENSMUST00000232034.2	883	682.611	7693.41	43	0	0	43.0
ENSMUST00000176114.8	4341	4140.61	1120.13	37.9761	0	0	37.9761
ENSMUST00000099050.4	669	468.611	9522.38	36.5371	0	0	36.5371
ENSMUST00000034822.12	2880	2679.61	1504.06	33	0	0	33.0
ENSMUST00000193703.6	11229	11028.6	498.328	45	219.596	12	33.0
ENSMUST00000145969.8	924	723.611	5569.71	33	0	0	33.0
ENSMUST00000139171.2	507	306.631	12673.6	31.8194	0	0	31.8194
ENSMUST00000099449.4	2571	2370.61	1545.56	30	0	0	30.0
ENSMUST00000203649.3	2600	2399.61	1475.98	29	0	0	29.0
ENSMUST00000088257.14	957	756.611	4681.11	29	0	0	29.0
ENSMUST00000214637.3	6157	5956.61	594.597	29	0	0	29.0
ENSMUST00000180014.2	1938	1737.61	1929.23	27.4482	0	0	27.4482
ENSMUST00000091878.6	2798	2597.61	1235.25	26.2728	0	0	26.2728
ENSMUST00000099224.10	4206	4005.61	1890.37	62	1864.22	37	25.0
ENSMUST00000004657.14	2105	1904.61	1603.09	25	0	0	25.0
ENSMUST00000131702.8	704	503.611	5831.87	24.048	0	0	24.048
ENSMUST00000196395.5	533	332.616	8812.34	24	0	0	24.0
ENSMUST00000123805.2	781	580.611	5048.35	24	0	0	24.0
ENSMUST00000208464.2	4545	4344.61	646.548	23	0	0	23.0
ENSMUST00000084149.10	2813	2612.61	1071.52	22.9219	0	0	22.9219
ENSMUST00000034775.10	6785	6584.61	389.505	21	0	0	21.0
ENSMUST00000075775.6	3993	3792.61	671.212	20.8437	0	0	20.8437
