Name	Length	EffectiveLength	TPMKO	NumReadKO	TPMCtrl	NumReadsCtrl	Diff
ENSMUST00000135503.2	348	153.488	313867	580	0	0	313867.0
ENSMUST00000092955.11	830	629.611	178750	1354.96	0	0	178750.0
ENSMUST00000147671.2	1225	1024.61	46044.9	568	0	0	46044.9
ENSMUST00000099047.4	681	480.611	32738	189.432	0	0	32738.0
ENSMUST00000145874.2	491	290.653	18575.1	65	0	0	18575.1
ENSMUST00000135794.2	318	129.031	16093.1	25	0	0	16093.1
ENSMUST00000081471.3	171	52.549	12645	8	0	0	12645.0
ENSMUST00000139171.2	507	306.631	8619.23	31.8194	0	0	8619.23
ENSMUST00000203657.3	695	494.611	7556.85	45	0	0	7556.85
ENSMUST00000117638.2	2885	2684.61	7148.69	231.055	0	0	7148.69
ENSMUST00000099050.4	669	468.611	6476.24	36.5379	0	0	6476.24
ENSMUST00000196395.5	533	332.616	5993.21	24	0	0	5993.21
ENSMUST00000232034.2	883	682.611	5232.23	43	0	0	5232.23
ENSMUST00000232043.2	460	259.77	4796.16	15	0	0	4796.16
ENSMUST00000107263.9	3516	3315.61	4634.47	185	0	0	4634.47
ENSMUST00000202684.2	577	376.612	4410.91	20	0	0	4410.91
ENSMUST00000112589.3	117	37.7197	4340.38	1.97108	0	0	4340.38
ENSMUST00000145623.2	119	38.2176	4113.53	1.89272	0	0	4113.53
ENSMUST00000131702.8	704	503.611	3966.21	24.048	0	0	3966.21
ENSMUST00000140171.8	537	336.615	3948.01	16	0	0	3948.01
ENSMUST00000108959.3	1581	1380.61	3910.52	65	0	0	3910.52
ENSMUST00000145969.8	924	723.611	3787.92	33	0	0	3787.92
ENSMUST00000238623.2	1525	1324.61	3538.6	56.4324	0	0	3538.6
ENSMUST00000120870.2	1575	1374.61	3444.19	57	0	0	3444.19
ENSMUST00000123805.2	781	580.611	3433.35	24	0	0	3433.35
ENSMUST00000099683.2	660	459.611	3418.42	18.9157	0	0	3418.42
ENSMUST00000088257.14	957	756.611	3183.59	29	0	0	3183.59
ENSMUST00000119839.2	247	83.366	2988.99	3	0	0	2988.99
ENSMUST00000099046.4	681	480.611	2968.5	17.1767	0	0	2968.5
ENSMUST00000169647.2	528	327.618	2788.8	11	0	0	2788.8
ENSMUST00000221232.2	264	92.6569	2687.77	2.99832	0	0	2687.77
